DATA_ODCZYTU;ZUZYCIE_BIEZACE;JEDNOSTKA;DATA_POPRZEDNIEGO_ODCZYTU;ODCZYT_BIEZACY;ODCZYT_POPRZEDNI;STREFA_EC;ADRES_PPE;TYP_ODCZYTU;NUMER_LICZNIKA;PUNKT_POBORU;SKLADNIK
09.04.2022;10;kVarh;09.02.2022;126 kVarh;116 kVarh;II;BARSKA 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180753;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;7;kVarh;09.02.2022;111 kVarh;104 kVarh;II;  MJR. HUBALA 4,  33-300 NOWY S¥CZ;Odczyt systemowy;70180738;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;26;kVarh;09.02.2022;255 kVarh;229 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 44D,  33-300 NOWY S¥CZ;Odczyt systemowy;70178748;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;107;kVarh;09.02.2022;1090 kVarh;983 kVarh;II;  MJR. HUBALA 3B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180577;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;14;kVarh;09.02.2022;187 kVarh;173 kVarh;II;BARSKA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180575;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;96;kVarh;09.02.2022;988 kVarh;892 kVarh;II;  MJR. HUBALA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180583;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;18;kVarh;09.02.2022;162 kVarh;144 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 15B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180578;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;19;kVarh;09.02.2022;151 kVarh;132 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 23,  33-300 NOWY S¥CZ;Odczyt systemowy;95443960;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;14;kVarh;09.02.2022;183 kVarh;169 kVarh;II;  MJR. HUBALA 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180741;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;105;kVarh;09.02.2022;921 kVarh;816 kVarh;II;  MJR. HUBALA 5D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180740;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 46,  33-300 NOWY S¥CZ;Odczyt systemowy;2040482;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;11;kVarh;09.02.2022;150 kVarh;139 kVarh;II;BARSKA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180758;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;36;kVarh;09.02.2022;263 kVarh;227 kVarh;II;  BATALIONÓW CH£OPSKICH 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70301246;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;12;kVarh;09.02.2022;154 kVarh;142 kVarh;II;  BATALIONÓW CH£OPSKICH 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70178616;5,90322E+17;Energia bierna indukcyjna strefa II
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 11AB,  33-300 NOWY S¥CZ;Odczyt systemowy;70180582;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  BATALIONÓW CH£OPSKICH 12,  33-300 NOWY S¥CZ;Odczyt systemowy;70301251;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  BATALIONÓW CH£OPSKICH 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70301247;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  PARTYZANTÓW 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180767;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  MJR. HUBALA 1B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180757;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  MJR. HUBALA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180574;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  PARTYZANTÓW 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180573;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  PARTYZANTÓW 3,  33-300 NOWY S¥CZ;Odczyt systemowy;70180772;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 1,  33-300 NOWY S¥CZ;Odczyt systemowy;70180770;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  PARTYZANTÓW 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70180746;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;5;kVarh;09.02.2022;987 kVarh;982 kVarh;I;  WESTERPLATTE 48,  33-300 NOWY S¥CZ;Odczyt systemowy;92385158;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;3 kVarh;3 kVarh;I;  MJR. HUBALA 2D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180768;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;BARSKA 12D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180576;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 19,  33-300 NOWY S¥CZ;Odczyt systemowy;70180581;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;BARSKA 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180753;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  MJR. HUBALA 4,  33-300 NOWY S¥CZ;Odczyt systemowy;70180738;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 44D,  33-300 NOWY S¥CZ;Odczyt systemowy;70178748;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  MJR. HUBALA 3B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180577;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;BARSKA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180575;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  MJR. HUBALA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180583;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;1 kVarh;1 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 15B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180578;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;50 kVarh;50 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 23,  33-300 NOWY S¥CZ;Odczyt systemowy;95443960;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  MJR. HUBALA 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180741;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;3 kVarh;3 kVarh;I;  MJR. HUBALA 5D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180740;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 46,  33-300 NOWY S¥CZ;Odczyt systemowy;2040482;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;1 kVarh;1 kVarh;I;BARSKA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180758;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  BATALIONÓW CH£OPSKICH 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70301246;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;0;kVarh;09.02.2022;0 kVarh;0 kVarh;I;  BATALIONÓW CH£OPSKICH 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70178616;5,90322E+17;Energia bierna pojemnoœciowa ca³odobowa
09.04.2022;43;kWh;09.02.2022;366 kWh;323 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 11AB,  33-300 NOWY S¥CZ;Odczyt systemowy;70180582;5,90322E+17;Energia czynna strefa I
09.04.2022;51;kWh;09.02.2022;409 kWh;358 kWh;I;  BATALIONÓW CH£OPSKICH 12,  33-300 NOWY S¥CZ;Odczyt systemowy;70301251;5,90322E+17;Energia czynna strefa I
09.04.2022;44;kWh;09.02.2022;411 kWh;367 kWh;I;  BATALIONÓW CH£OPSKICH 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70301247;5,90322E+17;Energia czynna strefa I
09.04.2022;114;kWh;09.02.2022;972 kWh;858 kWh;I;  PARTYZANTÓW 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180767;5,90322E+17;Energia czynna strefa I
09.04.2022;109;kWh;09.02.2022;920 kWh;811 kWh;I;  MJR. HUBALA 1B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180757;5,90322E+17;Energia czynna strefa I
09.04.2022;124;kWh;09.02.2022;1046 kWh;922 kWh;I;  MJR. HUBALA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180574;5,90322E+17;Energia czynna strefa I
09.04.2022;113;kWh;09.02.2022;951 kWh;838 kWh;I;  PARTYZANTÓW 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180573;5,90322E+17;Energia czynna strefa I
09.04.2022;42;kWh;09.02.2022;375 kWh;333 kWh;I;  PARTYZANTÓW 3,  33-300 NOWY S¥CZ;Odczyt systemowy;70180772;5,90322E+17;Energia czynna strefa I
09.04.2022;116;kWh;09.02.2022;961 kWh;845 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 1,  33-300 NOWY S¥CZ;Odczyt systemowy;70180770;5,90322E+17;Energia czynna strefa I
09.04.2022;118;kWh;09.02.2022;981 kWh;863 kWh;I;  PARTYZANTÓW 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70180746;5,90322E+17;Energia czynna strefa I
09.04.2022;86;kWh;09.02.2022;5465 kWh;5379 kWh;I;  WESTERPLATTE 48,  33-300 NOWY S¥CZ;Odczyt systemowy;92385158;5,90322E+17;Energia czynna strefa I
09.04.2022;108;kWh;09.02.2022;923 kWh;815 kWh;I;  MJR. HUBALA 2D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180768;5,90322E+17;Energia czynna strefa I
09.04.2022;116;kWh;09.02.2022;992 kWh;876 kWh;I;BARSKA 12D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180576;5,90322E+17;Energia czynna strefa I
09.04.2022;124;kWh;09.02.2022;1028 kWh;904 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 19,  33-300 NOWY S¥CZ;Odczyt systemowy;70180581;5,90322E+17;Energia czynna strefa I
09.04.2022;40;kWh;09.02.2022;366 kWh;326 kWh;I;BARSKA 14,  33-300 NOWY S¥CZ;Odczyt systemowy;70180753;5,90322E+17;Energia czynna strefa I
09.04.2022;42;kWh;09.02.2022;372 kWh;330 kWh;I;  MJR. HUBALA 4,  33-300 NOWY S¥CZ;Odczyt systemowy;70180738;5,90322E+17;Energia czynna strefa I
09.04.2022;70;kWh;09.02.2022;551 kWh;481 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 44D,  33-300 NOWY S¥CZ;Odczyt systemowy;70178748;5,90322E+17;Energia czynna strefa I
09.04.2022;110;kWh;09.02.2022;919 kWh;809 kWh;I;  MJR. HUBALA 3B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180577;5,90322E+17;Energia czynna strefa I
09.04.2022;45;kWh;09.02.2022;408 kWh;363 kWh;I;BARSKA 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70180575;5,90322E+17;Energia czynna strefa I
09.04.2022;121;kWh;09.02.2022;1011 kWh;890 kWh;I;  MJR. HUBALA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180583;5,90322E+17;Energia czynna strefa I
09.04.2022;58;kWh;09.02.2022;504 kWh;446 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 15B,  33-300 NOWY S¥CZ;Odczyt systemowy;70180578;5,90322E+17;Energia czynna strefa I
09.04.2022;77;kWh;09.02.2022;1571 kWh;1494 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 23,  33-300 NOWY S¥CZ;Odczyt systemowy;95443960;5,90322E+17;Energia czynna strefa I
09.04.2022;44;kWh;09.02.2022;396 kWh;352 kWh;I;  MJR. HUBALA 7,  33-300 NOWY S¥CZ;Odczyt systemowy;70180741;5,90322E+17;Energia czynna strefa I
09.04.2022;134;kWh;09.02.2022;1110 kWh;976 kWh;I;  MJR. HUBALA 5D,  33-300 NOWY S¥CZ;Odczyt systemowy;70180740;5,90322E+17;Energia czynna strefa I
09.04.2022;45;kWh;09.02.2022;5949 kWh;5904 kWh;I;ALEJE MJR. HENRYKA SUCHARSKIEGO 46,  33-300 NOWY S¥CZ;Odczyt systemowy;2040482;5,90322E+17;Energia czynna strefa I
09.04.2022;40;kWh;09.02.2022;371 kWh;331 kWh;I;BARSKA 8,  33-300 NOWY S¥CZ;Odczyt systemowy;70180758;5,90322E+17;Energia czynna strefa I
09.04.2022;69;kWh;09.02.2022;618 kWh;549 kWh;I;  BATALIONÓW CH£OPSKICH 10,  33-300 NOWY S¥CZ;Odczyt systemowy;70301246;5,90322E+17;Energia czynna strefa I
09.04.2022;41;kWh;09.02.2022;380 kWh;339 kWh;I;  BATALIONÓW CH£OPSKICH 16,  33-300 NOWY S¥CZ;Odczyt systemowy;70178616;5,90322E+17;Energia czynna strefa I
09.04.2022;112;kWh;09.02.2022;1095 kWh;983 kWh;II;ALEJE MJR. HENRYKA SUCHARSKIEGO 11AB,  33-300 NOWY S¥CZ;Odczyt systemowy;70180582;5,90322E+17;Energia czynna strefa II
